Speaker_code	Hometown	Sex	Age_1	Clan	Sub_clan	Orator	Token_ID	Word	Word_class	Nasal_drop	Fol_seg	Tense	Subj_person	Syllabicity	Word_class	Genre
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	169	dan	copula	n	V	prs	1			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	182	dan	copula	0	C	prs	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	198	gogon	auxiliary	n	##	rem	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	199	gogon	auxiliary	n	#	rem	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	207	dan	copula	n	V	prs	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	224	allan	auxiliary	0	C	prs	1			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	228	dan	copula	0	V	prs	1			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	229	dan	copula	0	#	prs	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	232	dan	copula	0	C	prs	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	252	dan	copula	0	#	prs	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	259	dan	copula	0	C	prs	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	266	gogon	auxiliary	0	#	rem	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	268	gogon	auxiliary	n	##	rem	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	271	allan	auxiliary	0	C	prs	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	275	dan	copula	n	C	prs	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	278	dan	copula	n	#	prs	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	281	gogon	auxiliary	n	C	rem	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	282	gogon	auxiliary	0	##	rem	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	284	gogon	auxiliary	n	##	rem	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	288	allan	auxiliary	n	##	prs	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	293	gogon	auxiliary	n	##	rem	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	301	bogon	auxiliary	0	##	fut	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	306	dan	copula	n	#	prs	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	308	dan	copula	n	##	prs	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	325	allan	auxiliary	0	C	prs	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	326	dan	copula	0	V	prs	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	327	dan	copula	0	V	prs	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	334	dan	copula	n	##	prs	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	335	allan	auxiliary	0	C	prs	1			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	346	allan	auxiliary	0	#	prs	1			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	348	agan	auxiliary	n	##	rec	1			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	369	allan	auxiliary	n	##	prs	1			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	372	dan	copula	n	##	prs	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	373	dan	copula	n	##	prs	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	379	gogon	auxiliary	n	##	rem	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	388	dan	copula	n	##	prs	3			
AAK	Limol	M	46-61	Dd?liag	Tizag	Y	393	allan	auxiliary	0	##	prs	3			
ADD	Limol	F	15-29	Dd?liag	Yawinang	N	11	allan	auxiliary	0	C	prs	1			
ADD	Limol	F	15-29	Dd?liag	Yawinang	N	12	dan	copula	n	#	prs	3			
ADD	Limol	F	15-29	Dd?liag	Yawinang	N	13	dan	copula	0	##	prs	3			
ADD	Limol	F	15-29	Dd?liag	Yawinang	N	14	dan	copula	0	C	prs	3			
ADD	Limol	F	15-29	Dd?liag	Yawinang	N	17	dan	copula	0	##	prs	3			
ADD	Limol	F	15-29	Dd?liag	Yawinang	N	24	allan	auxiliary	0	C	prs	3			
ADD	Limol	F	15-29	Dd?liag	Yawinang	N	28	dan	copula	0	##	prs	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	7	dan	copula	0	##	prs	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	27	dan	copula	n	#	prs	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	29	dan	copula	0	C	prs	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	33	dan	copula	n	##	prs	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	35	dan	copula	0	C	prs	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	37	allan	auxiliary	0	##	prs	1			
AKD	Limol	M	15-29	Yamkong	Pallong	N	38	dan	copula	n	#	prs	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	49	dan	copula	0	C	prs	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	57	allan	auxiliary	0	##	prs	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	59	dan	copula	0	V	prs	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	61	allan	auxiliary	0	##	prs	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	62	agan	auxiliary	0	##	rec	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	66	dan	copula	n	#	prs	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	67	dan	copula	n	##	prs	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	69	dan	copula	n	##	prs	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	72	dan	copula	0	##	prs	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	73	dan	copula	0	#	prs	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	74	dan	copula	0	##	prs	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	76	dan	copula	0	##	prs	3			
