Speaker_code	Hometown	Sex	Age_1	Clan	Sub_clan	Orator	Token_ID	Word	Word_class	Nasal_drop	Fol_seg	Tense	Subj_person
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	169	dan	copula	n	V	prs	1
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	182	dan	copula	0	C	prs	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	198	gogon	auxiliary	n	##	rem	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	199	gogon	auxiliary	n	#	rem	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	207	dan	copula	n	V	prs	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	224	allan	auxiliary	0	C	prs	1
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	228	dan	copula	0	V	prs	1
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	229	dan	copula	0	#	prs	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	232	dan	copula	0	C	prs	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	252	dan	copula	0	#	prs	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	259	dan	copula	0	C	prs	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	266	gogon	auxiliary	0	#	rem	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	268	gogon	auxiliary	n	##	rem	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	271	allan	auxiliary	0	C	prs	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	275	dan	copula	n	C	prs	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	278	dan	copula	n	#	prs	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	281	gogon	auxiliary	n	C	rem	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	282	gogon	auxiliary	0	##	rem	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	284	gogon	auxiliary	n	##	rem	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	288	allan	auxiliary	n	##	prs	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	293	gogon	auxiliary	n	##	rem	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	301	bogon	auxiliary	0	##	fut	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	306	dan	copula	n	#	prs	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	308	dan	copula	n	##	prs	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	325	allan	auxiliary	0	C	prs	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	326	dan	copula	0	V	prs	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	327	dan	copula	0	V	prs	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	334	dan	copula	n	##	prs	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	335	allan	auxiliary	0	C	prs	1
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	346	allan	auxiliary	0	#	prs	1
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	348	agan	auxiliary	n	##	rec	1
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	369	allan	auxiliary	n	##	prs	1
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	372	dan	copula	n	##	prs	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	373	dan	copula	n	##	prs	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	379	gogon	auxiliary	n	##	rem	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	388	dan	copula	n	##	prs	3
AAK	Limol	M	46-61	Ddɨliag	Tizag	Y	393	allan	auxiliary	0	##	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	12	bogon	auxiliary	n	V	fut	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	19	dan	copula	0	##	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	21	dan	copula	0	##	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	28	dan	copula	n	#	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	36	allan	auxiliary	0	C	prs	1
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	40	dan	copula	0	C	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	46	allan	auxiliary	0	C	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	47	dan	copula	0	C	prs	3
