Speaker_code	Hometown	Sex	Age_1	Clan	Sub_clan	Token_ID	Word	Genre	Major word class	Word_class	Syllabicity	Nasal_drop	Fol_seg	Tense
AKK	Malam	F	46-61	Ddɨliag	Bodenang	007	Deyarän	Interview	verb	lexical	3	n	C	rem
AKK	Malam	F	46-61	Ddɨliag	Bodenang	008	deyarän	Interview	verb	lexical	3	0	C	rem
AKK	Malam	F	46-61	Ddɨliag	Bodenang	009	deyarän	Interview	verb	lexical	3	0	C	rem
AKK	Malam	F	46-61	Ddɨliag	Bodenang	012	bogon	Interview	verb	auxiliary	2	n	V	fut
AKK	Malam	F	46-61	Ddɨliag	Bodenang	014	daden	Interview	verb	copula	2	0	##	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	019	dan	Interview	verb	copula	1	0	##	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	021	dan	Interview	verb	copula	1	0	##	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	028	dan	Interview	verb	copula	1	n	#	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	031	eran	Interview	verb	copula	2	0	##	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	032	anggan	Interview	verb	auxiliary	2	0	#	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	034	anggan	Interview	verb	auxiliary	2	0	##	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	036	allan	Interview	verb	auxiliary	2	0	C	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	040	dan	Interview	verb	copula	1	0	C	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	046	allan	Interview	verb	auxiliary	2	0	C	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	047	dan	Interview	verb	copula	1	0	C	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	048	gänyan	Interview	verb	copula	2	n	##	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	050	dan	Interview	verb	copula	1	0	C	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	052	dan	Interview	verb	copula	1	0	#	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	053	nallan	Interview	verb	auxiliary	2	0	#	rec
AKK	Malam	F	46-61	Ddɨliag	Bodenang	057	dan	Interview	verb	copula	1	n	##	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	064	allan	Interview	verb	auxiliary	2	0	##	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	067	dan	Interview	verb	copula	1	0	V	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	070	dan	Interview	verb	copula	1	n	##	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	074	dan	Interview	verb	copula	1	0	C	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	078	eran	Interview	verb	copula	2	0	##	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	080	eran	Interview	verb	copula	2	0	##	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	083	eran	Interview	verb	copula	2	0	##	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	085	eran	Interview	verb	copula	2	n	C	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	087	angällbänan	Interview	verb	lexical	4	0	#	rec
AKK	Malam	F	46-61	Ddɨliag	Bodenang	089	agan	Interview	verb	auxiliary	2	n	##	rec
AKK	Malam	F	46-61	Ddɨliag	Bodenang	091	agan	Interview	verb	auxiliary	2	n	##	rec
AKK	Malam	F	46-61	Ddɨliag	Bodenang	092	agan	Interview	verb	auxiliary	2	n	##	rec
AKK	Malam	F	46-61	Ddɨliag	Bodenang	094	naudewan	Interview	verb	lexical	4	n	##	rec
AKK	Malam	F	46-61	Ddɨliag	Bodenang	096	agan	Interview	verb	auxiliary	2	n	##	rec
AKK	Malam	F	46-61	Ddɨliag	Bodenang	097	nallan	Interview	verb	lexical	2	0	C	rec
AKK	Malam	F	46-61	Ddɨliag	Bodenang	100	angosan	Interview	verb	lexical	3	n	#	rec
AKK	Malam	F	46-61	Ddɨliag	Bodenang	102	agan	Interview	verb	auxiliary	2	n	C	rec
AKK	Malam	F	46-61	Ddɨliag	Bodenang	105	yaran	Interview	verb	lexical	2	n	##	rec
AKK	Malam	F	46-61	Ddɨliag	Bodenang	107	angosan	Interview	verb	lexical	3	0	C	rec
AKK	Malam	F	46-61	Ddɨliag	Bodenang	109	angosan	Interview	verb	lexical	3	n	#	rec
AKK	Malam	F	46-61	Ddɨliag	Bodenang	113	angttägan	Interview	verb	lexical	3	0	C	rec
AKK	Malam	F	46-61	Ddɨliag	Bodenang	118	gänyan	Interview	verb	copula	2	0	#	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	120	dan	Interview	verb	copula	1	n	#	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	124	gogon	Interview	verb	auxiliary	2	0	##	rem
AKK	Malam	F	46-61	Ddɨliag	Bodenang	125	gogon	Interview	verb	auxiliary	2	0	##	rem
AKK	Malam	F	46-61	Ddɨliag	Bodenang	127	Gänyan	Interview	verb	copula	2	0	C	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	129	allan	Interview	verb	auxiliary	2	0	##	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	131	dan	Interview	verb	copula	1	0	#	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	132	dan	Interview	verb	copula	1	0	C	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	133	dan	Interview	verb	copula	1	0	C	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	137	dan	Interview	verb	copula	1	0	##	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	142	dan	Interview	verb	copula	1	0	##	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	143	dan	Interview	verb	copula	1	0	##	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	144	allan	Interview	verb	auxiliary	2	n	##	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	145	dan	Interview	verb	copula	1	0	C	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	147	dan	Interview	verb	copula	1	n	##	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	151	dan	Interview	verb	copula	1	0	##	prs
AKK	Malam	F	46-61	Ddɨliag	Bodenang	152	dan	Interview	verb	copula	1	n	C	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	159	budabän	Interview	verb	lexical	3	0	##	fut
GGR	Malam	M	46-61	Ddɨliag	Bubog	003	wainen	Interview	verb	copula	2	n	C	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	005	wainen	Interview	verb	copula	2	n	C	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	012	dan	Interview	verb	copula	1	n	C	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	015	daden	Interview	verb	copula	2	n	##	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	021	nällädan	Interview	verb	lexical	3	n	##	rec
GGR	Malam	M	46-61	Ddɨliag	Bubog	022	eran	Interview	verb	copula	2	n	##	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	026	dittemän	Interview	verb	lexical	3	n	#	rem
GGR	Malam	M	46-61	Ddɨliag	Bubog	028	allan	Interview	verb	auxiliary	2	n	##	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	030	eran	Interview	verb	copula	2	n	##	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	040	dan	Interview	verb	copula	1	n	V	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	043	dan	Interview	verb	copula	1	n	##	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	044	bazärnän	Interview	verb	lexical	3	n	##	fut
GGR	Malam	M	46-61	Ddɨliag	Bubog	047	anggan	Interview	verb	auxiliary	2	n	##	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	051	anggan	Interview	verb	auxiliary	2	0	C	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	053	dan	Interview	verb	copula	1	0	##	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	055	anggan	Interview	verb	auxiliary	2	n	C	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	057	anggan	Interview	verb	auxiliary	2	0	C	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	059	anggan	Interview	verb	auxiliary	2	n	V	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	062	ainen	Interview	verb	copula	2	n	##	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	063	dan	Interview	verb	copula	1	0	C	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	070	endan	Interview	verb	copula	2	0	##	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	071	dällädän	Interview	verb	lexical	3	n	#	rem
GGR	Malam	M	46-61	Ddɨliag	Bubog	072	guddällän	Interview	verb	lexical	3	n	##	rem
GGR	Malam	M	46-61	Ddɨliag	Bubog	073	deyarän	Interview	verb	lexical	3	n	C	rem
GGR	Malam	M	46-61	Ddɨliag	Bubog	075	dällädän	Interview	verb	lexical	3	n	##	rem
GGR	Malam	M	46-61	Ddɨliag	Bubog	076	deyangesnegän	Interview	verb	lexical	5	n	##	rem
GGR	Malam	M	46-61	Ddɨliag	Bubog	077	gognegnän	Interview	verb	auxiliary	3	n	V	rem
GGR	Malam	M	46-61	Ddɨliag	Bubog	080	gognegnän	Interview	verb	auxiliary	3	n	##	rem
GGR	Malam	M	46-61	Ddɨliag	Bubog	081	bogon	Interview	verb	auxiliary	2	n	V	fut
GGR	Malam	M	46-61	Ddɨliag	Bubog	082	bogon	Interview	verb	auxiliary	2	n	V	fut
GGR	Malam	M	46-61	Ddɨliag	Bubog	083	dan	Interview	verb	copula	1	n	V	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	084	bogon	Interview	verb	auxiliary	2	n	#	fut
GGR	Malam	M	46-61	Ddɨliag	Bubog	085	bandärän	Interview	verb	lexical	3	0	##	fut
GGR	Malam	M	46-61	Ddɨliag	Bubog	086	daden	Interview	verb	copula	2	n	##	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	088	aenen	Interview	verb	copula	2	n	##	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	096	anggan	Interview	verb	auxiliary	2	n	##	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	098	anggan	Interview	verb	auxiliary	2	n	#	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	101	allan	Interview	verb	auxiliary	2	n	V	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	104	botngoenegän	Interview	verb	lexical	4	n	#	fut
GGR	Malam	M	46-61	Ddɨliag	Bubog	105	bognegän	Interview	verb	auxiliary	3	n	##	fut
GGR	Malam	M	46-61	Ddɨliag	Bubog	106	gänyan	Interview	verb	copula	2	0	#	prs
